id,name,parent_id/id
res_partner_category_ape_3317z,Réparation et maintenance d'autres équipements de transport,res_partner_category_ape
res_partner_category_ape_3319z,Réparation d'autres équipements,res_partner_category_ape
res_partner_category_ape_3320a,"Installation de structures métalliques, chaudronnées et de tuyauterie",res_partner_category_ape
res_partner_category_ape_3320b,Installation de machines et équipements mécaniques,res_partner_category_ape
res_partner_category_ape_3320c,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,res_partner_category_ape
res_partner_category_ape_3320d,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",res_partner_category_ape
res_partner_category_ape_3511z,Production d'électricité,res_partner_category_ape
res_partner_category_ape_3512z,Transport d'électricité,res_partner_category_ape
res_partner_category_ape_3513z,Distribution d'électricité,res_partner_category_ape
res_partner_category_ape_3514z,Commerce d'électricité,res_partner_category_ape
res_partner_category_ape_3521z,Production de combustibles gazeux,res_partner_category_ape
res_partner_category_ape_3522z,Distribution de combustibles gazeux par conduites,res_partner_category_ape
res_partner_category_ape_3523z,Commerce de combustibles gazeux par conduites,res_partner_category_ape
res_partner_category_ape_3530z,Production et distribution de vapeur et d'air conditionné,res_partner_category_ape
res_partner_category_ape_3600z,"Captage, traitement et distribution d'eau",res_partner_category_ape
res_partner_category_ape_3700z,Collecte et traitement des eaux usées,res_partner_category_ape
res_partner_category_ape_3811z,Collecte des déchets non dangereux,res_partner_category_ape
res_partner_category_ape_3812z,Collecte des déchets dangereux,res_partner_category_ape
res_partner_category_ape_3821z,Traitement et élimination des déchets non dangereux,res_partner_category_ape
res_partner_category_ape_3822z,Traitement et élimination des déchets dangereux,res_partner_category_ape
res_partner_category_ape_3831z,Démantèlement d'épaves,res_partner_category_ape
res_partner_category_ape_3832z,Récupération de déchets triés,res_partner_category_ape
res_partner_category_ape_3900z,Dépollution et autres services de gestion des déchets,res_partner_category_ape
res_partner_category_ape_4110a,Promotion immobilière de logements,res_partner_category_ape
res_partner_category_ape_4110b,Promotion immobilière de bureaux,res_partner_category_ape
res_partner_category_ape_4110c,Promotion immobilière d'autres bâtiments,res_partner_category_ape
res_partner_category_ape_4110d,Supports juridiques de programmes,res_partner_category_ape
res_partner_category_ape_4120a,Construction de maisons individuelles,res_partner_category_ape
res_partner_category_ape_4120b,Construction d'autres bâtiments,res_partner_category_ape
res_partner_category_ape_4211z,Construction de routes et autoroutes,res_partner_category_ape
res_partner_category_ape_4212z,Construction de voies ferrées de surface et souterraines,res_partner_category_ape
res_partner_category_ape_4213a,Construction d'ouvrages d'art,res_partner_category_ape
